time,id,x,y,angle,speed,lane
2.6,carflow0_0.0,5.1,-1.6,90.0,0.0,2
2.6,carflow0_1.0,13.03,-1.6,90.0,5.55,2
2.6,carflow1_0.0,194.9,1.6,270.0,0.0,3
2.6,carflow1_1.0,187.33,1.6,270.0,5.28,3
2.7,carflow0_0.0,5.12,-1.6,90.0,0.25,2
2.7,carflow0_1.0,13.61,-1.6,90.0,5.76,2
2.7,carflow1_0.0,194.87,1.6,270.0,0.25,3
2.7,carflow1_1.0,186.78,1.6,270.0,5.52,3
2.8,carflow0_0.0,5.17,-1.6,90.0,0.49,2
2.8,carflow0_1.0,14.2,-1.6,90.0,5.99,2
2.8,carflow1_0.0,194.83,1.6,270.0,0.49,3
2.8,carflow1_1.0,186.21,1.6,270.0,5.67,3
2.9,carflow0_0.0,5.25,-1.6,90.0,0.73,2
2.9,carflow0_1.0,14.82,-1.6,90.0,6.13,2
2.9,carflow1_0.0,194.75,1.6,270.0,0.75,3
2.9,carflow1_1.0,185.63,1.6,270.0,5.81,3
3.0,carflow0_0.0,5.34,-1.6,90.0,0.96,2
3.0,carflow0_1.0,15.45,-1.6,90.0,6.33,2
3.0,carflow1_0.0,194.65,1.6,270.0,0.97,3
3.0,carflow1_1.0,185.03,1.6,270.0,6.03,3
3.1,carflow0_0.0,5.46,-1.6,90.0,1.21,2
3.1,carflow0_1.0,16.11,-1.6,90.0,6.55,2
3.1,carflow1_0.0,194.53,1.6,270.0,1.19,3
3.1,carflow1_1.0,184.4,1.6,270.0,6.25,3
3.2,carflow0_0.0,5.6,-1.6,90.0,1.4,2
3.2,carflow0_1.0,16.78,-1.6,90.0,6.74,2
3.2,carflow1_0.0,194.4,1.6,270.0,1.39,3
3.2,carflow1_1.0,183.75,1.6,270.0,6.49,3
3.3,carflow0_0.0,5.76,-1.6,90.0,1.58,2
3.3,carflow0_1.0,17.47,-1.6,90.0,6.91,2
3.3,carflow1_0.0,194.24,1.6,270.0,1.58,3
3.3,carflow1_1.0,183.09,1.6,270.0,6.62,3
3.4,carflow0_0.0,5.94,-1.6,90.0,1.79,2
3.4,carflow0_1.0,18.18,-1.6,90.0,7.15,2
3.4,carflow1_0.0,194.06,1.6,270.0,1.8,3
3.4,carflow1_1.0,182.41,1.6,270.0,6.76,3
3.5,carflow0_0.0,6.14,-1.6,90.0,2.0,2
3.5,carflow0_1.0,18.92,-1.6,90.0,7.39,2
3.5,carflow1_0.0,193.86,1.6,270.0,2.01,3
3.5,carflow1_1.0,181.71,1.6,270.0,7.02,3
3.6,carflow0_0.0,6.36,-1.6,90.0,2.16,2
3.6,carflow0_1.0,19.68,-1.6,90.0,7.57,2
3.6,carflow1_0.0,193.63,1.6,270.0,2.27,3
3.6,carflow1_1.0,180.99,1.6,270.0,7.2,3
3.7,carflow0_0.0,6.59,-1.6,90.0,2.32,2
3.7,carflow0_1.0,20.46,-1.6,90.0,7.83,2
3.7,carflow1_0.0,193.38,1.6,270.0,2.47,3
3.7,carflow1_1.0,180.26,1.6,270.0,7.36,3
3.8,carflow0_0.0,6.84,-1.6,90.0,2.47,2
