time,id,x,y,angle,speed,lane
10.7,carflow1_0.0,75.51,-4.8,90.0,11.87,1
10.7,carflow1_1.0,43.35,-4.8,90.0,11.92,1
10.7,carflow2_0.0,930.73,4.8,270.0,12.94,4
10.7,carflow2_1.0,888.74,4.8,270.0,14.69,4
10.7,carflow3_0.0,928.23,8.0,270.0,14.96,5
10.7,carflow3_1.0,892.97,8.0,270.0,13.98,5
10.7,carflowV2I_0.0,18.58,-1.6,90.0,7.43,2
10.7,carflowV2I_1.0,108.91,-1.6,90.0,14.24,2
10.7,carflowV2I_2.0,904.22,1.6,270.0,11.52,3
10.7,carflowV2I_3.0,963.96,4.8,270.0,10.96,4
10.8,carflow0_0.0,55.83,-8.0,90.0,12.95,0
10.8,carflow0_1.0,88.25,-8.0,90.0,12.28,0
10.8,carflow1_0.0,76.69,-4.8,90.0,11.86,1
10.8,carflow1_1.0,44.56,-4.8,90.0,12.12,1
10.8,carflow2_0.0,929.43,4.8,270.0,13.03,4
10.8,carflow2_1.0,887.27,4.8,270.0,14.63,4
10.8,carflow3_0.0,926.73,8.0,270.0,14.96,5
10.8,carflow3_1.0,891.57,8.0,270.0,14.02,5
10.8,carflowV2I_0.0,19.35,-1.6,90.0,7.68,2
10.8,carflowV2I_1.0,110.32,-1.6,90.0,14.19,2
10.8,carflowV2I_2.0,903.07,1.6,270.0,11.52,3
10.8,carflowV2I_3.0,962.85,4.8,270.0,11.1,4
10.9,carflow0_0.0,57.13,-8.0,90.0,13.0,0
10.9,carflow0_1.0,89.46,-8.0,90.0,12.18,0
10.9,carflow1_0.0,77.88,-4.8,90.0,11.9,1
10.9,carflow1_1.0,45.79,-4.8,90.0,12.3,1
10.9,carflow2_0.0,928.13,4.8,270.0,12.98,4
10.9,carflow2_1.0,885.8,4.8,270.0,14.71,4
10.9,carflow3_0.0,925.23,8.0,270.0,15.01,5
10.9,carflow3_1.0,890.17,8.0,270.0,13.95,5
10.9,carflowV2I_0.0,20.13,-1.6,90.0,7.81,2
10.9,carflowV2I_1.0,111.75,-1.6,90.0,14.24,2
10.9,carflowV2I_2.0,901.92,1.6,270.0,11.46,3
10.9,carflowV2I_3.0,961.72,4.8,270.0,11.31,4
11.0,carflow0_0.0,58.43,-8.0,90.0,12.98,0
11.0,carflow0_1.0,90.69,-8.0,90.0,12.25,0
11.0,carflow1_0.0,79.07,-4.8,90.0,11.89,1
11.0,carflow1_1.0,47.04,-4.8,90.0,12.47,1
11.0,carflow2_0.0,926.84,4.8,270.0,12.93,4
11.0,carflow2_1.0,884.33,4.8,270.0,14.68,4
11.0,carflow3_0.0,923.74,8.0,270.0,14.91,5
11.0,carflow3_1.0,888.78,8.0,270.0,13.93,5
11.0,carflowV2I_0.0,20.93,-1.6,90.0,8.02,2
11.0,carflowV2I_1.0,113.18,-1.6,90.0,14.31,2
11.0,carflowV2I_2.0,900.78,1.6,270.0,11.42,3
11.0,carflowV2I_3.0,960.57,4.8,270.0,11.47,4
11.1,carflow0_0.0,59.72,-8.0,90.0,12.91,0
11.1,carflow0_1.0,91.91,-8.0,90.0,12.25,0
11.1,carflow1_0.0,80.26,-4.8,90.0,11.86,1
11.1,carflow1_1.0,48.3,-4.8,90.0,12.64,1
11.1,carflow2_0.0,925.54,4.8,270.0,12.98,4
11.1,carflow2_1.0,882.87,4.8,270.0,14.63,4
11.1,carflow3_0.0,922.24,8.0,270.0,14.99,5
11.1,carflow3_1.0,887.38,8.0,270.0,13.96,5
11.1,carflowV2I_0.0,21.75,-1.6,90.0,8.16,2
11.1,carflowV2I_1.0,114.61,-1.6,90.0,14.26,2
11.1,carflowV2I_2.0,899.64,1.6,270.0,11.43,3
11.1,carflowV2I_3.0,959.4,4.8,270.0,11.7,4
11.2,carflow0_0.0,61.01,-8.0,90.0,12.91,0
11.2,carflow0_1.0,93.13,-8.0,90.0,12.18,0
11.2,carflow1_0.0,81.44,-4.8,90.0,11.82,1
11.2,carflow1_1.0,49.58,-4.8,90.0,12.8,1
