time,id,x,y,angle,speed,lane
3.4,carflow2_2.0,5.95,-1.6,90.0,1.85,2
3.5,carflow1_1.0,17.84,-4.8,90.0,6.86,1
3.5,carflow1_2.0,5.97,-4.8,90.0,1.9,1
3.5,carflow2_1.0,18.66,-1.6,90.0,7.53,2
3.5,carflow2_2.0,6.15,-1.6,90.0,2.01,2
3.6,carflow1_1.0,18.54,-4.8,90.0,7.03,1
3.6,carflow1_2.0,6.17,-4.8,90.0,2.06,1
3.6,carflow2_1.0,19.43,-1.6,90.0,7.73,2
3.6,carflow2_2.0,6.38,-1.6,90.0,2.26,2
3.7,carflow1_1.0,19.27,-4.8,90.0,7.28,1
3.7,carflow1_2.0,6.4,-4.8,90.0,2.29,1
3.7,carflow2_1.0,20.23,-1.6,90.0,7.96,2
3.7,carflow2_2.0,6.62,-1.6,90.0,2.47,2
3.8,carflow1_1.0,20.02,-4.8,90.0,7.51,1
3.8,carflow1_2.0,6.65,-4.8,90.0,2.51,1
3.8,carflow2_1.0,21.04,-1.6,90.0,8.14,2
3.8,carflow2_2.0,6.89,-1.6,90.0,2.63,2
3.9,carflow1_1.0,20.78,-4.8,90.0,7.65,1
3.9,carflow1_2.0,6.92,-4.8,90.0,2.68,1
3.9,carflow2_1.0,21.88,-1.6,90.0,8.37,2
3.9,carflow2_2.0,7.17,-1.6,90.0,2.86,2
4.0,carflow1_1.0,21.57,-4.8,90.0,7.82,1
4.0,carflow1_2.0,7.21,-4.8,90.0,2.85,1
4.0,carflow2_1.0,22.73,-1.6,90.0,8.56,2
4.0,carflow2_2.0,7.48,-1.6,90.0,3.09,2
4.1,carflow1_1.0,22.36,-4.8,90.0,7.95,1
4.1,carflow1_2.0,7.51,-4.8,90.0,3.03,1
4.1,carflow2_1.0,23.6,-1.6,90.0,8.71,2
4.1,carflow2_2.0,7.81,-1.6,90.0,3.29,2
4.2,carflow1_1.0,23.17,-4.8,90.0,8.13,1
4.2,carflow1_2.0,7.84,-4.8,90.0,3.27,1
4.2,carflow2_1.0,24.5,-1.6,90.0,8.9,2
4.2,carflow2_2.0,8.16,-1.6,90.0,3.48,2
4.3,carflow1_1.0,24.01,-4.8,90.0,8.34,1
4.3,carflow1_2.0,8.19,-4.8,90.0,3.49,1
4.3,carflow2_1.0,25.4,-1.6,90.0,9.07,2
4.3,carflow2_2.0,8.52,-1.6,90.0,3.66,2
4.4,carflow1_1.0,24.86,-4.8,90.0,8.5,1
4.4,carflow1_2.0,8.56,-4.8,90.0,3.71,1
4.4,carflow2_1.0,26.33,-1.6,90.0,9.24,2
4.4,carflow2_2.0,8.92,-1.6,90.0,3.92,2
4.5,carflow1_1.0,25.72,-4.8,90.0,8.66,1
4.5,carflow1_2.0,8.95,-4.8,90.0,3.9,1
4.5,carflow2_1.0,27.26,-1.6,90.0,9.38,2
4.5,carflow2_2.0,9.33,-1.6,90.0,4.14,2
4.6,carflow1_1.0,26.61,-4.8,90.0,8.86,1
4.6,carflow1_2.0,9.36,-4.8,90.0,4.1,1
4.6,carflow2_1.0,28.22,-1.6,90.0,9.52,2
4.6,carflow2_2.0,9.77,-1.6,90.0,4.4,2
4.7,carflow1_1.0,27.52,-4.8,90.0,9.1,1
4.7,carflow1_2.0,9.79,-4.8,90.0,4.34,1
4.7,carflow2_1.0,29.19,-1.6,90.0,9.7,2
4.7,carflow2_2.0,10.23,-1.6,90.0,4.59,2
4.8,carflow1_1.0,28.45,-4.8,90.0,9.27,1
4.8,carflow1_2.0,10.25,-4.8,90.0,4.52,1
4.8,carflow2_1.0,30.17,-1.6,90.0,9.85,2
4.8,carflow2_2.0,10.7,-1.6,90.0,4.73,2
4.9,carflow1_1.0,29.39,-4.8,90.0,9.47,1
4.9,carflow1_2.0,10.72,-4.8,90.0,4.72,1
4.9,carflow2_1.0,31.18,-1.6,90.0,10.08,2
4.9,carflow2_2.0,11.19,-1.6,90.0,4.9,2
5.0,carflow1_1.0,30.36,-4.8,90.0,9.7,1
5.0,carflow1_2.0,11.21,-4.8,90.0,4.91,1
5.0,carflow2_1.0,32.21,-1.6,90.0,10.28,2
5.0,carflow2_2.0,11.7,-1.6,90.0,5.12,2
5.1,carflow1_1.0,31.35,-4.8,90.0,9.86,1
5.1,carflow1_2.0,11.72,-4.8,90.0,5.1,1
5.1,carflow2_1.0,33.25,-1.6,90.0,10.44,2
5.1,carflow2_2.0,12.23,-1.6,90.0,5.28,2
5.2,carflow1_1.0,32.36,-4.8,90.0,10.11,1
5.2,carflow1_2.0,12.25,-4.8,90.0,5.35,1
5.2,carflow2_1.0,34.31,-1.6,90.0,10.61,2
5.2,carflow2_2.0,12.78,-1.6,90.0,5.46,2
5.3,carflow1_1.0,33.39,-4.8,90.0,10.34,1
5.3,carflow1_2.0,12.81,-4.8,90.0,5.53,1
5.3,carflow2_1.0,35.39,-1.6,90.0,10.82,2
5.3,carflow2_2.0,13.34,-1.6,90.0,5.62,2
5.4,carflow1_1.0,34.45,-4.8,90.0,10.52,1
5.4,carflow1_2.0,13.38,-4.8,90.0,5.73,1
5.4,carflow2_1.0,36.5,-1.6,90.0,11.04,2
5.4,carflow2_2.0,13.92,-1.6,90.0,5.83,2
5.5,carflow1_1.0,35.51,-4.8,90.0,10.67,1
5.5,carflow1_2.0,13.97,-4.8,90.0,5.87,1
5.5,carflow2_1.0,37.62,-1.6,90.0,11.19,2
5.5,carflow2_2.0,14.53,-1.6,90.0,6.06,2
5.6,carflow1_1.0,36.6,-4.8,90.0,10.86,1
5.6,carflow1_2.0,14.57,-4.8,90.0,6.08,1
5.6,carflow2_1.0,38.76,-1.6,90.0,11.43,2
5.6,carflow2_2.0,15.15,-1.6,90.0,6.27,2
5.7,carflow1_1.0,37.7,-4.8,90.0,10.99,1
5.7,carflow1_2.0,15.21,-4.8,90.0,6.31,1
5.7,carflow2_1.0,39.93,-1.6,90.0,11.68,2
5.7,carflow2_2.0,15.79,-1.6,90.0,6.41,2
5.8,carflow1_1.0,38.82,-4.8,90.0,11.17,1
5.8,carflow1_2.0,15.85,-4.8,90.0,6.45,1
5.8,carflow2_1.0,41.11,-1.6,90.0,11.82,2
5.8,carflow2_2.0,16.45,-1.6,90.0,6.58,2
5.9,carflow1_1.0,39.95,-4.8,90.0,11.34,1
5.9,carflow1_2.0,16.51,-4.8,90.0,6.6,1
5.9,carflow2_1.0,42.31,-1.6,90.0,12.01,2
5.9,carflow2_2.0,17.14,-1.6,90.0,6.84,2
6.0,carflow1_1.0,41.1,-4.8,90.0,11.53,1
6.0,carflow1_2.0,17.2,-4.8,90.0,6.85,1
6.0,carflow2_1.0,43.53,-1.6,90.0,12.22,2
